58;The Nave;The nave opens out beneath a vaulted ceiling of dark wood, ranks of empty pews facing an altar lit by a single hanging lamp. Dust hangs visible in the coloured light through the stained-glass windows. A narrow stair in the corner climbs toward the bell tower, and another descends toward the crypt. The narthex is south.;15
59;The Bell Tower;You climb a tight spiral stair into the bell tower, where the Redeemer's bell hangs silent on its yoke, green with verdigris. The striking mechanism was stripped for scrap years ago, so it is rung by hand now, and only on Sundays. Through the louvres, the Mink Mile glitters along Bloor below. The stair descends to the nave.;10
60;The Crypt;The stair ends in a crypt of close, cold stone, memorial plaques set into the walls further back than anyone alive still reads Latin. Old candle-stubs sit in the niches, and something has been keeping them lit. The stair climbs back to the nave.;35
28;The Museum Rotunda;You are beneath the mosaic dome of the Royal Ontario Museum's rotunda, where Bloor street meets Queen's Park. A million tesserae of gold and lapis arch overhead, and beneath them stand the halls of a civilization that catalogued everything and preserved almost none of it. Cases of clockwork curiosities line the walls, several of them wound and still ticking. A grand staircase curves up toward the galleries above. Bloor street is east, and a stair descends to Museum station.;30
52;The Hall of Life;You climb from the rotunda into the Hall of Life, ranks of taxidermied creatures behind glass, a few of them mechanical replicas standing in for species that did not survive the collapse. Placards in three languages have all faded to the same shade of brown. The stair continues up, or descends to the rotunda.;20
53;The Hall of Automata;The second floor is given over to automata, a procession of decommissioned mechanical figures posed mid-gesture behind velvet rope - clerks, soldiers, a chess-player with its hand still extended over an empty board. One of the cases stands open. The stair continues up, or descends to the first floor.;30
54;The Hall of Lost Nations;Here stand the halls of the world as it was: totem poles, temple friezes, a full-scale reconstruction of a market street from a city that has not sent word in a generation. The collection was assembled faster than it could be understood, and half the cases have lost their labels to time. The stair continues up, or descends to the second floor.;20
55;The Age of Digital Wing;The fourth floor is a memorial to the Age of Digital, glass cases of devices nobody living remembers how to power - slabs of black glass, coiled cables, a room of server racks kept as a curiosity rather than a warning. A placard reads: THEY BUILT A WORLD THEY COULD NOT MAINTAIN. The stair continues up, or descends to the third floor.;25
56;The Observatory Dome;At the top of the museum, a glass-domed observatory holds the last working orrery in the city, brass planets still turning on schedule though nobody has recalibrated it in years. Through the dome the whole of Bloor street is visible, gaslit, all the way to the Mink Mile. The stair descends through the galleries to the rotunda.;15
29;Wellesley Station;You are on the Wellesley platform, a narrow island of tile between two live running lines. A hand-lettered board lists the services, and beneath it a notice in red enamel: PASSENGERS MUST NOT DESCEND TO THE TRACK. Whatever the notice is meant to prevent has happened here before - the tilework at the platform edge is chipped and scorched, and nobody stands nearer to it than they have to. From here you can travel north to Bloor or south to College by train.;30
30;College Park Concourse;You are in the underground concourse at Yonge and College, where the College station platform opens directly into the arcade beneath the old Eaton's department store. Terrazzo floors, chevrons of black and gold, and shopfronts in the severe modern manner of the last years before the fall. Steam drifts in from the platform behind you and hangs under the low ceiling. A grand stair sweeps up toward the Carlu on the seventh floor, where they say the round room's chandelier is still lit for concerts. From here you can travel north to Wellesley by train.;35
31;Yonge at Marlborough;You are on Yonge street above the strip, where the shopfronts give way to coal yards and the brick embankment of the railway. The clock tower of the North Toronto station stands over the rooftops ahead, its four faces lit from within. A goods train rumbles across the bridge overhead and showers the road with cinders. Yonge street runs north toward Scrivener square and south to the Five Thieves.;35
32;Scrivener Square;You are in Scrivener square, the cobbled forecourt of the North Toronto railway station. The tower rises a hundred and forty feet above you in Indiana limestone, modelled after the campanile at Venice, and its bell marks the quarter hours over half of Rosedale. Steam drays wait in a rank for the London train, their boilers ticking as they cool. The station doors are north, Summerhill avenue climbs east toward the reservoir, Yonge street runs south, and a stair descends to the Summerhill platform.;25
33;North Toronto Station;You are in the great hall of the North Toronto railway station. Vaulted plaster forty feet overhead, a floor of Missouri marble worn into channels by a century of boots, and a departure board of clattering brass vanes that nobody has ever managed to silence. Ticket clerks work behind grilles of wrought iron while mail automatons trundle sacks toward the platforms. A stair in the corner climbs to the clock tower. The square is south.;15
34;The Clock Tower;You are in the clock chamber at the top of the tower. Four great dials of milk glass glow around you, and behind them the movement turns on a train of gears the size of cartwheels, wound each week by a keeper who climbs the stair with a crank on his shoulder. Through the louvres the whole city lies out in gaslight, from the ravine lands to the harbour. The stair descends to the great hall.;10
35;Summerhill Station;You are on the Summerhill subway platform, where the line ends. The platform is short, and the tunnel beyond it stops at a wall of fitted stone where the works were halted and never resumed. A locomotive waits at the buffers with its fire banked while the crew take their tea on an upturned crate. From here you can travel south to Rosedale by train, or take the stair up to Scrivener square.;25
36;The Rosehill Reservoir;You are on the embankment of the Rosehill reservoir, a still black rectangle of water held in dressed stone above the city. The pumping house at its head works day and night, and the beam of its engine rises and falls behind tall windows with a sound like a slow heart. Beyond the far parapet the ground falls away into the wooded cleft of the Vale of Avoca. Summerhill avenue descends west to Scrivener square.;40
37;The Train Shed;You are under the glazed roof of the station train shed, where the mainline platforms lie behind a rank of iron gates. A boat train for Montreal stands waiting with its carriage doors open and a conductor automaton walking the length of it, slamming them shut one by one. Coal smoke gathers in the vault overhead and drifts out through the louvres in long grey ribbons. The great hall is south.;20
